,작성일,작성자,내용
248,2020-04-14,molab_suda,코로나19 대응 193개 청년정책 몽땅 가자 온라인 청년센터로 자세히 보기 . 3 9 고용노동부 고용부 노동부 청년정책 온라인청년센터 . 1250005251232428032 1
2420,2020-04-16,gustnF_M,정부가 육아 정책을 내놓는건 우리 나라 출생률이 0.93인가 0명대이고 실제로 육아를 하다보면 부부가 함께 감당해도 될까말까할 정도로 벅참. 아이를 낳는 것은 선택이지만 이후 뒷감당을 정부가 같이 하겠다는 것인데 피해의식에 갇히면 어쩔. 그리고 청년 정책에는 여성도 포함되는거잖음.
2419,2020-04-16,SisterDee0,그러니까 이해찬이 내세웠던 청년층 잡기의 이남자가 얼마나 후졌던 전략이냐고. 20대 남자는 특히나 문프의 저 불법촬영물 등 관련 정책과 블라인드 채용 등에 굉장한 반감을 가져서 지지율이 낮은 거라고. 청년정책 20대 남성 이라니. 언어도단이지. 청년에 여자는 없어
2421,2020-04-16,myaplace_,얘들아 ... 용산 강태웅 어떻게 좀 안될까 청년정책 괜찮아
2412,2020-04-17,soksim13,시사타임즈 경기도 2분기 청년기본소득 두 달 조기 지급 4월 16 27일까지 접수1인당 연간 최대 100만 원 코로나 극복 위해 7월 5월로 시사타임즈 한민우 기자 이재명 경기도지사의 핵심 청년정책인 청... . . 93 94 25494
2411,2020-04-17,soksim13,경기도 2분기 청년기본소득 두 달 조기 지급 4월 16 27일까지 접수1인당 연간 최대 100만 원 코로나 극복 위해 7월 5월로 시사타임즈 한민우 기자 이재명 경기도지사의 핵심 청년정책인 청... . . 93 94 25494
2416,2020-04-17,jesusokm7,청년기본소득 2분기 분 16일부터 접수. 당초 일정보다 두 달 조기 지급 이재명 경기도지사의 핵심 청년정책인 청년기본소득 2분기 신청접수가 4월 16일부터 오는 4월 27일까지 진행된다.경기도는 당초 청년기본소득 2분기 분은 6월부터 신청을 받아 7월 20일 지급 예정이 . 5
2415,2020-04-17,Womensparty_kjh,한국여성정책연구원은 2020년 패러다임 전환기 성평등정책 재설계를 모색하고 새로운 세대의 젠더의식 분석과 젠더관점의 청년정책 개발 성평등의 사회경제적 효과분석에 기반한 정책의제 설정을 목표로 다양한 활동을 하고 있습니다. . . . . . 1250973737807048706 1 . 1250973737807048706 1
2402,2020-04-21,Sisa_Touch,충남에 머무는 속 깊은 청년정책 추진 . . . 18680
2403,2020-04-21,higili12,시사타임즈 경기도 2분기 청년기본소득 두 달 조기 지급 4월 16 27일까지 접수1인당 연간 최대 100만 원 코로나 극복 위해 7월 5월로 시사타임즈 한민우 기자 이재명 경기도지사의 핵심 청년정책인 청... . . 3 93 94 25494
2406,2020-04-21,fraisephraze,그리고 취업에서도 블라인드 채용 지방인재 다 기가 참 지방에서 열씨미 노력해서 인서울 대학가면 지방우대 못받는 거 아시조 공산당 마인드 투명해서 눈물나잖아요 ... 내 중고등 청춘시절 미래 위해 투자해서 명문대왔더니 빨간맛으로 물든 놈들이 청년정책으로 저딴거나 낸다는게
2404,2020-04-21,kkong9227,서울만 청년정책 하는느낌은 그냥 기분탓인지..
2397,2020-04-22,metrotimes_no1,메트로타임즈 정책 안양시 청년정책 청년드림 가이드북에 총 망라 . . . 137380
2398,2020-04-22,N73895567,경북도 약 900여건의 국민 공모를 통해 청년정책 슬로건과 엠블럼 선정 . . 5243 0
2399,2020-04-22,higili12,시사 경기도 2분기 청년기본소득 두 달 조기 지급 4월 16 27일까지 접수1인당 연간 최대 100만 원 코로나 극복 위해 7월 5월로 시사타임즈 한민우 기자 이재명 경기도지사의 핵심 청년정책인 청... . . 4 93 94 25494
2400,2020-04-22,itsdaejeontv,대전시 청년정책 적극 추진 . . 126043 221920797838
41,2020-04-23,dm_Best_Daily,경주시 김홍준 기자 청년정책위원회 청년위원 공개 모집. 지역 청년들의 사회참여 유도 청년정책 이해 당사자가 정책 결정과정에 참여하는 효율적인 청년정책의 추진. 경주시는 지역 청년들의 사회참여를 유도하고 청년정책 이해 당사자가 정책 결정과정에 . . . . 04 02 1805 . . 1253149228001443840 1
2395,2020-04-23,greatpine7,서울청년정책네트워크 상시모집 자치구 청년참여기구 참여자 추가 모집 청년분들 좋은 기회니 참고하세요 . . . 7 221925035722 2020서울청년정책네트워크 상시모집 오프라인 서울청년시민회의 온라인 서울청년정책패널 청년 청년정책 2020자치구청년참여기구 추가모집
42,2020-04-23,sl_Best_Daily,경주시 김홍준 기자 청년정책위원회 청년위원 공개 모집. 지역 청년들의 사회참여 유도 청년정책 이해 당사자가 정책 결정과정에 참여하는 효율적인 청년정책의 추진. 경주시는 지역 청년들의 사회참여를 유도하고 청년정책 이해 당사자가 정책 결정과정에 . . . . 04 02 1805 . . 1253149227103907840 1
247,2020-04-24,dm_Best_Daily,경북도 안미옥 기자 경상북도 청년정책을 상징하는 얼굴 마담이 나왔다 약 900여건의 국민 공모를 통해 경북 청년정책 슬로건과 엠블럼 선정 슬로건은 경북 청년애 애 꿈 청년의 꿈 실현시키는 경북정책 지향 담아 엠블럼은 꿈을 향해 힘차게 달려가는 . . . . 01 04 3190 . . 1253484563633827840 1
246,2020-04-24,sl_Best_Daily,경북도 안미옥 기자 경상북도 청년정책을 상징하는 얼굴 마담이 나왔다 약 900여건의 국민 공모를 통해 경북 청년정책 슬로건과 엠블럼 선정 슬로건은 경북 청년애 애 꿈 청년의 꿈 실현시키는 경북정책 지향 담아 엠블럼은 꿈을 향해 힘차게 달려가는 . . . . 01 04 3190 . . 1253484564413943808 1
245,2020-04-24,jdh_Best_Daily,경북도 안미옥 기자 경상북도 청년정책을 상징하는 얼굴 마담이 나왔다 약 900여건의 국민 공모를 통해 경북 청년정책 슬로건과 엠블럼 선정 슬로건은 경북 청년애 애 꿈 청년의 꿈 실현시키는 경북정책 지향 담아 엠블럼은 꿈을 향해 힘차게 달려가는 . . . 01 04 1238 . . 1253503816609050624 1
2394,2020-04-24,Doo_bab,. . . . 온라인 청년 센터 저는 여기서 정보 긁어오는데 청년정책 정년청잭통합검색 들어가서 각자 지역 지원유형 검색하면 구석구석 숨겨져있던 청년지원정책 쭉 떠서 좋아요 추천
2392,2020-04-25,hcRgQeE02pqSkHi,양산소식 시 청년정책 제안 공모전 진행 등 재택알바 꿀알바 시장 초기에 선점 하세요 . 02 1253845230060625923 1
2391,2020-04-25,people_sd,2020 성동구 청년기자단 모집 모집기간 20. 4. 17. 금 5. 4. 화 대 상 성동구 거주 또는 구 소재 단체 등에서 활동하는 만19세 39세 청년 청년 정책관련 콘텐츠 제작 및 게시 개인 블로그 인스타그램 등 를 통한 청년정책 홍보 . . 1 221928131409 . 1253877753331380224 1
244,2020-04-25,people_sd,2020 성동구 청년기자단 모집 모집기간 20. 4. 17. 금 5. 4. 화 대 상 성동구 거주 또는 구 소재 단체 등에서 활동하는 만19세 39세 청년 청년 정책 공간 사업 홍보를 위한 콘텐츠 제작 및 게시 개인 블로그 인스타그램 등 를 통한 청년정책 홍보 . . 1 221928131409 . 1253871856546795520 1
2388,2020-04-26,koooljo,로마 멸망 결정타는 저출산 한국 흥망도 청년 에 달렸다 2. 6 한국일보 기사라 . 그래도 청년정책을 더욱 중요시 해야한다는 것에는 동의한다. 결혼해서 아이낳고 교육시키는 사회시스템을 바꿔야한다. 아이키우기가 너무 고통스러워서 아이를 낳을생각을 못.한.다. . 1254198631294357505 1
2387,2020-04-26,Moonheart_74,청년정책 앱 소득신고 건강보험납부내역 주거정책 통장금리
243,2020-04-28,yangsancity,양산시 청년정책 제안 공모전 청년의 참견 개최 참가대상 양산시 청년 만19세 만39세 응모접수 친화도시 양산을 위한 정책제안 제출방법 이메일 . 또는 국민생각함 . . . 양산시 청년정책 제안 공보 시정혁신팀 . 1254948261099483138 1
2385,2020-04-29,yoricomplex,서울시가 청년정책 마련하는 자료수집 방법 중에 꽤 효율적인 방법인 것 같다
2384,2020-04-29,loveacrc,학교 밖 청소년 편견과 차별은 이제 그만 자세한 내용은 . 2 5 권익위 청년정책 국민생각함 . 1255349783709077506 1
2383,2020-04-29,loveacrc,국민생각함 . . . 에서 학교 밖 청소년을 비롯한 청년정책 사각지대와 관련한 제안을 받습니다. 자세히 보기 . 2 15 . 1255400431674634242 1
2381,2020-04-30,jesusokm7,실효성 있는 청년 정책 청년이 직접 만들어요 내실있는 청년 정책 인프라를 위해 동대문구와 사회적협동조합 동사경센터가 힘을 모은다.동대문구 구청장 유덕열 가 29일 오전 10시 30분 동대문구청에서 사회적협동조합 동사경센터 센터장 최근영 와 청 . 7
2379,2020-04-30,Gam_Jyua,다시보니까 저거 트윗 진짜 웃기네 주식은 무슨 책읽으면 다 성공하나...어차피 우리나라 주식은 내수시장이나 다름없음 코로나 터지고 외국인 투자자들 쓸어 나간거 보면 모르니...차라리 주식보단 주택청약이나 국가 청년정책 찾아보라고 하면 모른다
2382,2020-04-30,tpwhd28,동대문구 실효성 있는 청년 정책 청년이 직접 만들어요 . . 4456 29일 사회적협동조합 동사경센터와 청년정책거버넌스 활성화 지원사업 업무 협약..청년의 청년에 의한 청년을 위한 실효성 있는 정책 발굴 스타트업
242,2020-05-01,_ibbie,청년정책이 청년 독점적인 것인가 에 관해선 영감님이 늙었다고 청년정책을 안하는 건 아닌데 영감님발 아이디어는 대개 시혜적인 건 어쩔 수 없으며 그렇지 않은 경우는 청년단체나 청년보좌관 등 청년당사자의 머리 속에서 나온 것일 가능성이 많음.
2376,2020-05-01,zS1BWCqrtUEIBXA,실효성 있는 청년 정책 청년이 직접 만들어요 동대문구 29일 사회적협동조합 동사경센터와 청년정책거버넌스 활성화 지원사업 업무 협약 동대문구가 동대문구청에서 사회적협동조합 동사경센터 센터장 최근영 와 청년정책거버넌스 활성화 지원사업 운영을 위한 업무협약을 . 이영구기자 . 1 1255987316121718784 1
2377,2020-05-01,cfr0g,실효성이 있는 청년 정책은 청년이 더 잘 만든다 물론 그럴 수도 있다고 보지만 반드시라고 할 정도로 결정적인 팩터인지는 모르겠음. 결국 법은 잘 만드는 사람이 잘 만들고 정치도 잘하는 사람이 잘하더라.
2378,2020-05-01,cfr0g,그리고 젊은 세대들이 상당히 착각하는게 있는데 국회에서 나이든 국회의원들이 청년정책 안 만들거라 믿는 거. 기록보면 알겠지만 많이들 논의하고 만듦. 정도의 차이는 있지만 보수당도 마찬가지고. 노인정책보다 더 많은듯. 이유야 젊은 층은 미래고 노인은 곧 과거가 될테니까...
2373,2020-05-03,menqueanhe_,주식으로 돈날리지말고...여전히 부족하지만 요샌 청년을 위한 정책이 많이 나왔으니까 그리고 초년생이 주식으로 돈 끌어모으는건 열두살에 부자가된 키라에서나 가능하다 다들 적금을 들자
2374,2020-05-03,gogonera,청년 정책 당첨돼서 내일 차 나오는데 면허 따고 운전 3번밖에 안 해본 왕초보운전자임 이대로 괜찮은가
2371,2020-05-04,nthroomout,그러니까 나라에서 청년정책이니 뭐니 하는게 단어상으로 보면 여성을 위한건 아니라는거구나. 0
2369,2020-05-05,moel_supporter5,고용노동부 부산지방고용노동청 부산고용센터 제5기청년고용서포터즈 청년고용서포터즈 청년고용 청년취업 부산 부산일자리 부산고용 노동부 서포터즈 취업성공 취업성공패키지 취업패키지 취준생 취업라이프 취업바이브 취업지원금 지원사업 청년라이프 청년정책 청년혜택
2370,2020-05-05,moel_supporter5,제 1 안 인사 안녕하세요 2020년 고용노동부 부산지방고용노동청 제5기 청년고용 서포터즈로 선발된 정 범 입니다 청년고용 서포터즈는 청년고용정책 참여 및 관련 행사 참석 후 포스팅 콘텐츠 게시 과 고용노동부 및 청년정책 등 청년고용정책 콘텐츠 공유를 하는 서포터입니다 . 6 1257354445484183553 1
2366,2020-05-06,loveacrc,학교 밖 청소년 편견과 차별은 이제 그만 자세한 내용은 . 2 5 권익위 청년정책 국민생각함 . 1257865029803597824 1
2368,2020-05-06,youthideakr,남동구 청년 정책의 종합판 청년 미디어타워 6월 개장 앞둬 . 4
2362,2020-05-07,nowonpress,노원뉴스 나우온 지역 중심의 노원형 청년정책 추진한다 . . 20200513 1 님이 공유
2361,2020-05-07,gimjecityhall,대학생 학자금 대출이자 지원신청 접수 김제 청년들이 경제적인 이유로 꿈을 포기하거나 학업을 중단하는 일이 없도록 청년의 금융부채 부담을 줄여나가기 위한 고민을 함께 나누고 지원해 나가겠습니다 신청서 다운로드 . . . . 000000106006005000 김제시 학자금대출이자지원 청년정책 . 1258326479579930630 1
2360,2020-05-07,KukppaOm,장경태 당선자님 앞으로 기대가 큽니다 우리 당이 특히 20대들로부터 지지가 저조한데 청년정책 잘 만들어서 청년들에게 희망이 있는 나라로 만들어 주세요
240,2020-05-07,gyeongnamdo,청년들이 직접 만들고 참여하고 평가까지 수행하는 2020년 청년정책 시행계획이 확정되었습니다. 경상남도는 청년정책이 현장에서 취지에 맞게 구현되도록 만들어 가겠습니다. 자세히보기 . 776 청년특별도 청년정책시행계획 청년눈높이정책 . 1258266695656861696 1 . 1258266695656861696 1 . 1258266695656861696 1 . 1258266695656861696 1
241,2020-05-07,jeongukmaeil,노원형 청년정책 대한민국 새로운 청년정책 모델이 된다 . . 221950025958
2364,2020-05-07,StigmabaseA,한국말 권순표의 작심마이크 정의당 장혜영 당선인 내가 명문대 자퇴한 이유는 정의당을 선택해야 하는 이유 불평등에 고통 받는 모든 국민의 삶을 지킨다 청년 정책은 더 이상의 세습을 막는 것 . 앵커 모든 국민의 권익 향상을 위해 ... . 84
2357,2020-05-10,pbjs9876,박원순표 청년정책 희망두배 청년통장 내달 접수 신청기준 완화할 것 출처 아이뉴스24 네이버 뉴스 .
2356,2020-05-11,infj00ve,와 저 방금 하반기 운세봤는데 11월에 부동산쪽으로 운이 있대요 제발.. 뭐지 뭘까 주택청약 갑자기 양친이 집 선물 전세로 이사 청년정책 뭐 되는걸까 제발 제발
2355,2020-05-12,bsSasang,국민권익위원회는 청년이 체감할 수 있는 제도개선 추진의 일환으로 국민생각함 특별관 청년정책 제안 을 통해 청년이 생활속에서 느끼는 불공정이나 불편을 공유하고 개선방안을 나누고자 합니다. 다양한 의견을 들려주세요 아래의 링크클릭 . . . . 1 2004 0001328 . 1260003982618968065 1
2353,2020-05-15,Green_Frog_Day,돈은 문주당 니들이 함부로 무한추경하고 빚은 우리가 지고 아가리로 청년정책 털고 다 말아먹고... 할 줄 아는게 도대체 뭘까요. 대깨문들 입만 살아서 멍청한것들이 이성적 사고가 막혔나... 한국 현금 살포 의존말라 서 날아온 경고 출처 중앙일보 네이버 . 2 . 1260976975499296768 1
2351,2020-05-15,chets_1ee,072 최저시급기준 한달 기본금이 170만원 좀 넘는데 이거면 청년정책 전부다 못해요 슈발 그래서 저 아무것도 신청못했음
2347,2020-05-17,dlcjsdlq,가축생산정책 저출산대책 은 청년정책으로 치지 않습니다. 여성취업률 증가와 근속 장려를 위한 노력이 아닌 돈 뿌리는 베네수엘라식 정책은 정책으로 안 칩니다. 중학생이 그 자리 앉아서 해도 훨씬 잘하겠음
2348,2020-05-17,dlcjsdlq,이렇게 청년정책 전무한 나라는 없을 거다.
2345,2020-05-20,Hanasky0505,서울정책네트워크 서울시 서울 청년 정책 청년정책 소통 청년과 이야기를 하다보니. 여러 행정제도의 문제점을 알게 되었다. 재밌다 . . 9 02
2343,2020-05-20,jobabanet,청년정책 청년을 위한 지원정책 모음. . . 에서 확인하세요 청년구직활동지원금 청년내일채움공제 근로자생활안정자금 잡아바가 여러분 일자리를 응원합니다.
2344,2020-05-20,molab_suda,코로나19의 어려움 속에도 청년의 삶은 더 나아져야 하니까 코로나19 대응 청년지원 정책 자세히 보기 . 2 고용노동부 고용부 노동부 코로나19 코로나 청년지원정책 청년정책 코로나19청년지원정책 . 1263070480195399681 1
2341,2020-05-21,joe_underbarrrr,그럼 지금 라스형한테 말하는 것도 보이는 거 아니야 좀 멋진 대화 하자.. 3포세대 청년층을 위해 추진할 수 있는 국가지원 청년정책은 어떤 것들이 있을까
2340,2020-05-22,Idun_Appletree,저분트윗 볼때마다 겜가이드가 아니라 무슨 정부 청년정책같음 파이널주택청약14
239,2020-05-22,gyeongsangbukdo,경상북도 방구석 이벤트 청년정책엠블럼 을 따라해봐 청년정책 엠블럼을 재미있게 따라하고 사진 댓글을 남겨주세요 기간 5월 21일 목 6월 4일 목 18 00까지 페이스북에서 이벤트 참여하기 . . 2991760594226950 . 1263625805478780929 1
238,2020-05-22,btbtbt207,청년정책 소통창구 청년과 함꼐하는 청년정책을 구현하고 성남 청년네트워크 기반조성을 위한 창구를 아래와 같이 운영합니다. 성남시 아시아실리콘밸리담당관 . 207 1263739378582446080 1
237,2020-05-23,IlYQ2y7kFb82fXX,부산 청년정책의 모든 것 영상으로 만나세요 부산시 붓싼뉴스 청년정책 황타뉴스 굿 . 2 8 5
2339,2020-05-23,Hanasky0505,청년 서울청년정책네워크 청년모여라 청년정책 청년수당 청년행정 청년살자리 청년놀자리 청년농업인연합회 청년창업 청년일자리 청년이 연대하고 함께 해야하는 일들 . . 7 0 0 8 7
2336,2020-05-25,LanLan_2022,국민의당 당대표 특별보좌역 1 안보 특별보좌역 김만수 62 포항공대 연구교수 전 대한민국 공군 준장 2 문화체육 특별보좌역 송경택 38 전 대한빙상연맹 쇼트트랙 국가대표 감독 3 청년정책 특별보좌역 주우진 25 보건복지부 보호청소년 및 보호종료청년 자립멘토 . 34 3 3 3 5 3 6 9 3895708
2335,2020-05-25,soorantree,청년정책 특별보좌역에는 25세 주우진 전 국민의당 창당준비위원회 청년정치추진위원장이 임명됐다. 주 전 위원장은 보건복지부 보호청소년 및 보호종료청년 자립멘토로 활동 중이다.
2334,2020-05-25,ysh2375,인천 서구 소통 공감으로 청년 주도 청년정책 만든다 . 25. . 45918
2332,2020-05-26,1yWOZ81Hdrd5FUS,국민의당은 25일 최고위원회의에서 송경택 전 쇼트트랙 국가대표 감독을 안철수 대표의 문화 체육 분야 특별보좌역 임명. 안보 특별보좌역 공군준장출신 김만수 포항공대 연구교수를 청년정책 특별보좌역에는 25세의 주우진 보건복지부 보호청소년 자립 멘토를 각각 선임. . 20200525062800001
2331,2020-05-26,lovefromfuture,며칠전 청년정책 과장님 한테 나는 알수 없는 상처를 받았고 오늘 스타벅스 옆자리 아주머니께 나혼자 욕 해서 이상한 곳으로 분풀이를 한 셈이다. 원래 상처는 돌고도는 건지 슬프다
2329,2020-05-28,perianth_prism,부산시에서 하는 먼 청년정책인가봐요 지하철에 이벤트 공고 붙어잇길래 함 해봣는데 당첨된 큨
236,2020-05-28,jesusokm7,도 청년정책 기본계획 수립 관련 청년의 목소리를 듣고자 강원도는 금년도 도 청년정책 기본계획 수립과 관련해 강원청년정책자문단 을 시 군 추천을 병행해 50여명을 5월 27일 부터 6월 10일까지 공개 모집한다.도내 거주 만 18세 39세 청년이면 누구나 신청이 . 1
40,2020-05-28,jesusokm7,동구형 청년정책 산실 청년참여위 순항 광주 동구 청장 임택 가 청년정책 파트너로 활동할 제3기 동구 청년참여위원회 위원 위촉식 을 가졌다고 25일 밝혔다.동구 청년참여위원회는 광주광역시 동구청년기본조례 에 의거 청년정책 논의를 위 . 6
39,2020-05-29,jesusokm7,청년 정책 제주 청년들이 직접 알려요 청년의 눈높이에서 제주청년정책을 알리기 위해 구성한 제주청년 서포터즈 가 홍보역량강화 교육을 시작으로 6월부터 본격적인 활동에 돌입한다. 제주청년 서포터즈 는 제주 청년정책을 직접 조사하고 .
2324,2020-05-30,c0nnect_,미통당 청소년 협의체 정책위원회에서는 본인들 집단에 이렇게 버젓이 미성년자 구인을 한다는 사람이 있다는걸 알면 어떻게 될까 대체로 저런 집단은 그냥.. 청년정책 끼워팔기 할때 쓰려고 만들어놓은 허울뿐인 집단이긴 하지만... 너어무 재밌고 그러네 . 0 1266673907613876226 1 . 0 1266673907613876226 1 . 0 1266673907613876226 1
2325,2020-05-30,Leciel14633005,나쁜어른에 들러리서서 공짜를 배우지마라. 세상에 땀흘려 얻은 소득보다 귀한건 없다. 박원순표 청년정책 희망두배 청년통장 내달 접수 신청기준 완화할 것 . 24. 1263614
2327,2020-05-30,jesusokm7,인천시 남동구 청년의 목소리가 현실이 된다. 청년참여단 발대식 개최 인천시 남동구 구청장 이강호 는 청년정책 제안과 모니터링 등을 담당할 청년참여단을 구성하고 지난 28일 본격적 활동을 위한 발대식을 가졌다.청년참여단은 청년일자리 청년자립기반 .
2323,2020-05-31,norannabi420,문화경남 청년경남 김경수지사 경상남도는 2020년 경남 청년정책 시행계획 을 통해 로컬크리에이터 육성과 지원정책에 적극적이다. 비싼 가격에 1년에 한두 번 올까말까 하는 연예인보다 지역에 거주하며 시민들과 소통하는 크리에이터 효과가 더 크기 때문 로컬 . . . . 63543
235,2020-06-01,jesusokm7,청년정책 실현 기반 마련 청년네트워크 전체회의 충남도는 30일 비대면 영상회의를 통해 충남청년네크워크 이하 충청넷 전체회의를 개최했다. 충청넷은 청년 당사자 중심의 청년정책 실현 기반을 마련하는 충남도정의 대표적 청년 참여기구이다. 이날 . 5
2322,2020-06-01,jesusokm7,경기도 청년기본소득 3분기 분 1일부터 접수. 당초 일정보다 세 달 조기 지급 이재명 경기도지사의 핵심 청년정책인 청년기본소득 3분기 신청접수가 6월 1일부터 6월 22일까지 진행된다. 당초 올해 청년기본소득 3분기 분은 9월부터 신청을 받아 10월 20일 지급 . 2
2320,2020-06-01,nsb2003,사회 계룡시 지속가능한 청년정책 위해 청년의 힘 모은다. . . . 23304
2319,2020-06-01,hyechulson,계룡시 지속가능한 청년정책 위해 청년의 힘 모은다 . . . 442844
2318,2020-06-01,CTNeDucation,계룡시 지속가능한 청년정책 위해 청년의 힘 모은다 출처 충청탑뉴스 . . 221986201171 블로그 . 0
2317,2020-06-01,LogNews0,코로나19 이후 청년 정책 탄력 순찰제 등 어떤 정부 정책 참여할까 . 5 988 8 159099510604
2315,2020-06-03,zS1BWCqrtUEIBXA,시흥시 청년 사업 논의 청년정책 기본계획 연구용역 중간보고 진행 시흥시가 지난 28일 제1회 청년정책위원회를 개최하고 지역 청년들의 목소리를 반영하기 위한 본격적인 행보에 나섰다. 시흥시청 글로벌센터1에서 열린 청년정책위원회는 임병택 시흥시장 청년 활동가 및 기업인 시흥 홍동표기자 . 1 1267919067916013568 1
2313,2020-06-03,btbtbt207,성남시 3분기 청년기본소득 조기 지급 문의 청년정책과 청년복지팀 729 8502 성남시 아시아실리콘밸리담당관 . 207 1268011935590576128 1
2310,2020-06-04,tpwhd28,동대문구 청년정책거버넌스 활성화 사업 추진에 박차 . . 4575 2021년 청년정책거버넌스 활성화 사업 참여 자치구 선정..동대문구청년네트워크 중심으로 지역 맞춤형 청년정책 적극 발굴
2312,2020-06-04,hyechulson,부산 청년들 온라인으로 청년정책 소통 이어간다 . . . 443265 . 1268353094938587136 1
2311,2020-06-04,norannabi420,청년특별도 경남 김경수지사 청년정책 정말 잘 정리된 기사네요. 제대로 해 보겠심더 청년들에게 집도 주고 . . . 20200603050701320
234,2020-06-05,geumjeonggu,2020 금정구 청년센터 꿈터 드림 서포터즈 모집 안내 . 청년정책에 관심이 있는 만능 엔터테이너 청년들을 찾습니다 . 모집기간 2020. 6. 1 월 2020. 6. 19 금 지원자격 청년 정책에 관심이 많은 부산광역시 거주 청년 만19세 39세 모집인원 10명 . 1268700918842658816 1
2308,2020-06-05,poongkky,쏟아지는 청년 정책 좋긴 좋은데 청년 아니고 돈 없는 사람은 죽던지 말던지 라고 하는 것 같다.
2306,2020-06-06,FF14oldtank,14 많죠 당장 저 알티했던 청년정책도 두개가 서울경기권한정
2304,2020-06-08,Color_Blood013,재난지원금 안주면 좋겠는 이유 내가 나중에 취업자 됐을 때 세금으로 빵 내야되는데 정작 나는 세대주 아니라서 얻은 것도 없음 그리고 그거 준다고 경제적 위험을 감수해야할 수 있음 또 노인유권자 청년유권자라 아마 근미래에 청년정책 취업은 암울할텐데 정작 노인들한테 등골빨릴거라 싫음
233,2020-06-10,jesusokm7,김제시 인구 청년정책 105연대 김제대대 군장병과 만났다 김제시 시장 박준배 는 지난 4일 35사단 105연대 김제대대를 방문하여 군장병 70여명을 대상으로 김제시 인구 청년 정책을 홍보했다.앞서 김제시는 지난 5월에 군장병 상해보험 가입을 골자로 한 인구정 .
2302,2020-06-10,joongbooilbo,평택소식 청년 목소리 반영한 청년정책 평택시 청년공감토크 개최 . . . 363425757
2300,2020-06-11,du3882,다경뉴스 영주시의회 우충무 의원 시정질문 나서 영주시 청년정책 전반 질문 . . 153677
2301,2020-06-11,Jimm25565560,낙동강 오리알을 백조알로 착각하는 것 같다 단독 정세균 정성에 . 쓴소리 김해영 총리실행 유력 청년정책조정위 부위원장 유력 장관급 비상근직 영남 출신 청년 소신파 상징성에 대권 캠프서 잇단 러브콜 총리실행에 이목 집중 김해영은 미정 2. 5
38,2020-06-11,binmudum,미통당 최고위원 역임한 신보라가 문재인정부 청년정책 컨트롤타워인 총리실 청년정책조정위원회 합류한다. 총리실은 야당인사지만 청년정책에 정통하고 위원회 출범 토대인 청년기본법을 대표발의한 청년정책 전문가로 포함됐다 고 밝혔다. 잘 선택했다. 협치란 구호가 아니라 이런 실질적인 것이다.
232,2020-06-11,Sprint_to_death,국무총리실 관계자는 야당 인사지만 청년 정책에 정통하고 위원회 출범의 토대가 된 청년기본법을 대표발의한 만큼 추천 후보군에 청년정책 전문가로 포함됐다 고 설명했다. . 1270988308663767040 1
2297,2020-06-11,jinyeongkim2000,따르면 국무조정실은 오는 8월 청년기본법 시행에 따라 출범하는 청년정책조정위 민간위원 후보로 신보라 전 의원을 추천
2298,2020-06-11,stress_cyren,청년정책위는 정부 부처와 지방자치단체에 흩어져있는 청년 정책을 총괄하는 기구 정부 측 위원 20명 민간위원 20명 신보라는 민간위원 중 1인 확정 김해영은 민간위원 몫 부위원장 나머지 1명은 홍남기 확정 유력 심지어 김해영은 미확정 . . . 20200611098700001
2299,2020-06-11,uklondon21,청년정책조정위 부위원장 유력 장관급 비상근직 영남 출신 청년 소신파 상징성에 대권 캠프서 잇단 러브콜 김현 방통위 내정설에 이어 어이없음 2 나왔네. 소신파 그냥 제2의 조경태인 인물을 데려다 쓰겠다는 정세균도 황당하고... . . . 20200611043354705
2295,2020-06-12,Su0W6okDZ3F61Z8,야당 인사 신보라 문정부 청년정책 총괄..총리실 산하 청년정책위 합류 예정 . . . 20200611185706262 정세균 이런 얼굴 보기 싫은 거 4년을 꾹꾹 꾸우꾹 참았다가 민주당 몰표 준거다 정신차려
7,2020-06-12,Two36198438,신보라 청년정책조정위원히 합류반대 한다.....정세균 비상식적인 인간을 어떻게 합류시켜 당장 철회해라 신보라청년정책조정위합류반대 신보라청년정책조정위합류반대 신보라청년정책조정위합류반대 신보라청년정책조정위합류반대 신보라청년정책조정위합류반대
2296,2020-06-12,bbongpark,야당 인사 신보라 문정부 청년정책 총괄..총리실 산하 청년정책위 합류 예정 . . . 20200611185706262 이거 가짜뉴스죠 얘도 얘지만 얘 남편 지 누군지 알고 이런기사 나오는거
2288,2020-06-12,jinyeongkim2000,국무총리실 산하 청년정책조정위원회에 합류한다는 소식이 알려지며 노동계가 거세게 반발하고 나섰다. 신 전 의원의 청년정책조정위 합류는 제1야당 지도부 출신이 현 정부 위원회에 들어가는 것으로 매우 이례적인 인사다.
2289,2020-06-12,y2kjjang,국회 상임위원장 15일 연기와 결을 같이하는 야합 정치인가요 청년정책을 토착왜구당에 넘기는 무능으로 정권은 유지되는 건가요
2290,2020-06-12,97PTsrm6Ngjuwr3,야당 인사 신보라 문정부 청년정책 총괄..총리실 산하 청년정책위 합류 예정 다음 뉴스 . . . 20200611185706262 어디 데려다 쓸 사람이 없어서 이런 애를 데려다 쓰냐 진짜
