,작성일,작성자,내용
2368,2022-12-15,Bueaty_Pool_19,2 저두여... 딜.러한테 속아서 침 차 사거나 전세사기 당했거나 캐자 아들래미가 장식장에 양주 다 마셔놓고 보리차 채워둔거 아직 모른다는 그런것만 생각남여
2348,2022-12-16,chocojun,10 상식적은 집주인들은 어차피 돌려줄 임차인의 돈이니 당연하지만 돈이 없어 전세금 받아 전세금 줘야하는 사람들은 기피할 특약이죠. 아울러 전세사기 치려는 사기꾼들은 절대 하지 않을 특약...
2347,2022-12-16,LOVEinBTS,너투브 알고리즘이 여기도 해당되나 순간 놀랐당.. 전세사기 때문에 힘들었단 영상 하나보고 연달아 뜨던데 오늘 여기서 또 보임.. 그래 얼마나 피해자가 많고 중요한거라 그럴까 싶기도 하고..
2346,2022-12-16,hastas_curry,이게 쉬웠으면 아무도 전세사기 안당했을 듯 내 집주인은 반전세니까 고장은 니가 알아서 고쳐가며 산다 라는 특약도 넣는 마당에
2350,2022-12-16,lypstycecriture,1 귀신이 왜무서워....전세사기 뉴스 보고 주변의 절반이 2찍인걸 상기하면 귀신따위......
2351,2022-12-16,cheolsoo8,1100채 빌라왕 빙산의 일각 전세사기 349건 적발 804명 검거 출처 머니 네이버 뉴스 . 5 7 0
2352,2022-12-16,ggung21,그런데 전세 사기가 아니더라도 요새 깡통전세 가 많다고 한다. 부동산 차익 노리고 갭투자 했는데 시세가 낮아지면서 세입자에게 보증금 못덜려 주는 보증금 사고가 많아진 것..
2354,2022-12-16,Cpoo39788,집주인 공인중개사 감평사 처벌 강화 전세사기 피해 줄일 수 있을까
2349,2022-12-16,i_iary2,전세사기 무서워서 체크리스트 와랄랄라 쓰고 비장하게 갔는데 부동산 사장님이 그 체크리스트 하나하나 봐주시면서 특약 써주고 민증 위조여부 검사해주고 집주인분께 국세 지방세 납입 증명서 요청하시고 등등 이래저래 반영해주시곤 자 이제 됐습니다 하고 서류 정리해서 주심...
2356,2022-12-16,jji82407482,1100채 빌라왕 빙산의 일각 전세사기 349건 적발 804명 검거 출처 머니 네이버 뉴스 . 5 7 0 . 82407482 1603576129251446784 1
2357,2022-12-16,incheonilbo,전세사기 피해 주민 만난 유정복 인천시장 . . . 1174320
2358,2022-12-16,dailyjeonbuk,김학용 의원 빌라왕 전세사기 막겠다 피해방지 3법 대표발의 .
185,2022-12-16,ggung21,나도 집 알아볼때 신축 빌라 알아봤었는데 요새 전세사기 전세피해 기사가 많이 올라와서 당시에 조심하길 잘했다는 생각이 든다. 전세 사기 안당하려면 국토부에서 실거래가 꼭 확인하고 부동산 관련 공문서 꼼꼼히 확인해야 한다. 전세보증금 반환보증보험에 가입할 수도 있다고 한다.
2355,2022-12-16,safetimes2015,. 1 빌라왕 사망에 국토부 전세사기 피해 보호 나선다
2337,2022-12-17,realguitarist_,전세사기 진짜 무섭도라 요즘 다큐랑 시사뉴스에 빠졌음
2338,2022-12-17,zhongnapark,모두의 익명 질문을 모집 중 최근 답변한 질문 잼천 전세사기가 뭐죠 어디 쳔러가 님을 맡아도 지땡 엄마 볼 때마다 무슨 이번자컨 .. 그냥 너무나 질문상자 익명질문모집중 .
2340,2022-12-17,ROS3TT4,슬의생보다가 진심 소름돋음... 전세사기가 여기서 왜 나와요 미친
2341,2022-12-17,JS920727,전세사기가 한국에 유행
2342,2022-12-17,growglowg,정용실의 뉴스브런치 사회초년생 특히 청년층이 전세사기의 피해자가 되고 있는데... 그 심각성과 원인에 대해 221216 방송 . 06
2339,2022-12-17,DAEGW0NK1M,재미있는 건 결국 전세의 문제가 터지는 것도 경기 사이클과 깊은 관련이 있어보이는데 깡통 전세 세금체납 전세 사기 등 하면서 요즘 유독 문제들이 많이 보인다. 문제가 없는 동안에는 모두 행복한 게 전세 제도다 . 하지만 문제가 발생하면 세입자에게 너무 치명적인 게 전세다.
2344,2022-12-17,3658290,전세사기 근절 신속한 피해 지원 위해 총력 다하겠다 .
2345,2022-12-17,3658290,법률닷컴 전세사기 근절 신속한 피해 지원 위해 총력 다하겠다 . . . 6564
184,2022-12-17,SBSunanswered,그것이 알고 싶다 에서는 지난 10월 숨진 전세사기 피의자 빌라왕 김 모씨 43세 에 대해 잘 아시는 분이나 전세사기를 노린 기획부동산 관련한 일을 해보셨던 분들의 연락을 기다립니다. 02 2113 5500 21135500 . 카카오톡플러스친구 그것이알고싶다 . 1603955972757946368 1
2343,2022-12-17,woofollkr77,법률닷컴 전세사기 근절 신속한 피해 지원 위해 총력 다하겠다 . . 6564
2316,2022-12-18,TVChosunNews,전세 사기나 깡통 전세로 인해 집주인으로부터 전세 보증금을 떼이는 피해 사례가 급증하고 있습니다. 법원에 보증금을 돌려달라는 신청이 서울은 역대 최대치를 찍었습니다. . . 2022 12 18 2022121890083.
2317,2022-12-18,JTBC_news,보증금 돌려달라 구제신청 역대 최대 전세사기 경고등 매주 금요일엔 의 문이 열립니다. 오픈 뉴스룸 방청 신청하기 . . . . . . 583 12107583.
2318,2022-12-18,ysh2375,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . 25. . 255912
2319,2022-12-18,MagazineR_,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 8 69 2022121817493693269 211118 8 69 220113
2320,2022-12-18,jungboseasea,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 5 35 2022121817493693269 210829 5 35
2321,2022-12-18,nowgogowon,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 1 90 2022121817493693269 220920 1 90
2323,2022-12-18,sobisaenghwal,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 5 21 2022121817493693269 220719 5 21
2324,2022-12-18,muguet0801,런닝맨 오늘 토론 재밌네 아니 당연 가 더 나쁜 새끼지 향뿌는 불륜카페 재질이고 는 내가 널 사랑하는데 용기가 없어 니 절친이랑 사귈게 대신 곁에서 널 지켜볼게 이거자나 방이 여러개인 다세대주택 입주랑 전세사기랑 당연히 후자가 더 나쁘지
2315,2022-12-18,intestine714,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 8 90 2022121817493693269 220709 8 90
2325,2022-12-18,JTBC_news,뉴스룸 12월 18일 주요뉴스 폭설에 하늘길 뱃길 마비 매서운 한파 전국이 꽁꽁 실내 마스크 단계별로 벗는다 이르면 설연휴 전 완화 앞서던 차량 들이받고 활활 공장 야산 곳곳서 불 보증금 구제신청 역대 최대 전세사기 심상찮다
2326,2022-12-18,YooJeongBok,오늘은 원희룡 국토교통부 장관이 참석한 가운데 전세사기 피해 근절을 위한 간담회를 개최했습니다. 중앙정부 그리고 유관 기관과 심도있는 협의를 통해 문제를 해결해 나아가겠습니다. . 1604368709287432192 1
2314,2022-12-18,mBkDmRVcALMPK3A,보증금 돌려달라 구제신청 역대 최대 전세사기 경고등 출처 네이버 뉴스 . 02
2331,2022-12-18,juonghi54222,서민 꿈 짓밟는 전세사기 극성 모아보는뉴스 . 0 1 2 출처
2328,2022-12-18,16x16__,집 구할 때 전세사기 당하면 제대로 알아보지 않은 자가책임인데 이제 일 구할 때도 저런 일 휘말리면 제대로 판단하지 않은 자가책임이네 어떻게 살아가야 하노 거지
183,2022-12-18,passionrod22,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 와이뉴스 원희룡 국토교통부 장관은 12월 18일 인천 미추홀구 전세사기 현장을 방문하 . . . 2022121817493693269 491 5 54 2022121817493693269 221008 5 54
2327,2022-12-18,YooJeongBok,매서운 한파가 몰아치고 있지만 전세사기 피해자들의 아픔은 살을 에는 추위 그 이상입니다. 지난주에 피해 주민 대표자들과 사전 면담에 이어 . 1604368699737063425 1
2336,2022-12-18,mipadak,전세사기 심각하다
2335,2022-12-18,JS920727,이 추운날 전세사기 당한 호구들 많네 . 920727 1604204299860705280 1
2334,2022-12-18,love____ssong,2 어머 좋으신분이네요 혹시 저도 곧 이사예정인데 뭘 꼭 체크해봐야할까요 전세사기 많다고해서 너무 무서워요
2333,2022-12-18,Pullpang2,근데 전세사기 대부분이 자기가 등기소 가서 서류 뽑았으면 안당했을 사기가 99.9999999 인데 당한놈이 잘못 소리하면서도 한국인 정이 넘쳐서 또 안당하는 방법은 아무도 안알려주긴 함
2330,2022-12-18,tJCoJNoCGd1mujR,1 지금 전세사기 근본원인 전세등기 할수 없는집을 공인중개사 분양사무실매니저 말만 듣고 계약해서 문제가 커요 오피스텔 분양할때 사기가 많아요. 아파트하고 또 다라요.
2329,2022-12-18,red_sam_s2,전세사기 말고 매매도 조심해야한다고 그랫다... 빚이 남아있는데 조작한 서류로 빚 없다고 하고 매매되면 그 빚도 내가 떠안게 되는... 개같은구조....
2289,2022-12-19,424_harang,이 시발 뭐고 이거 약간 전세사기 느낌인디
2290,2022-12-19,AtesWeren,아는사람 사기당해서 7천넘게 날렸고 근무지에 어떤애도 전세사기당함 요즘 주변에 사기당하시는분들이 많아요 다들 사기 피싱조심합시다.
2291,2022-12-19,koreaTIOT,. 0 1 2 전세사기
2292,2022-12-19,koreaTIOT,전세사기 이거 문재인이 만든거네
2293,2022-12-19,PRESSIAN_news,전세사기 피해 기저에는 1세대1주택 중심주의 아파트 중심주의 개발논리 가스라이팅이 숨겨져 있다. 그러나 윤석열 정부는 공공임대주택 예산을 전년대비 28.2 삭감했다. 국가 역할을 방기한 채 가격 하락기 위험을 민간 자본과 다주택자의 주택투기로 해소하려는 의도 . . 2022121917011138650
2313,2022-12-19,corn_cheez,다들 축구보느라 안자는데 혼자 전세사기 서치하느라 못자는 중
2294,2022-12-19,r0GbUgFjuTvt0eX,신축 빌라 한 동 전부 빌라왕 피해자 ...전세사기 경고등 출처 뉴스는 네이버 . 0
2295,2022-12-19,Usefulinfos_kr,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 . . . 2022121817493693269 491 5 82 2022121817493693269 220720 5 82
2310,2022-12-19,corn_cheez,근데 돈을 딱 이체하자마자 존나게 불안한거임 그래서 이제 계약서 쓰기전에 정신 똑바로 차리고 특약 더 넣을꺼 없나 꼼꼼히 확인하려고 전세사기를 겁나 서치하기 시작함
2309,2022-12-19,30_______0E,그쪽동네 학교도많아서그런가 자취방관련괴담도많음요 뭐 설직히 제일 무서웟던건 전세사기긴햇지만 .....
2307,2022-12-19,itmecha,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 . . . 2022121908571289312 488 1 49 2022121908571289312 2 0 9 221124 1 49
2306,2022-12-19,MagazineR_,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 . . . 2022121908571289312 488 8 69 2022121908571289312 211118 8 69 220113
2305,2022-12-19,Listing_APP,안녕하세요. 리스팅 스쿨입니다 2022. 12. 19 월 1분만에 보는 키워드 뉴스 오늘의 키워드 뉴스 확인하고 가세요 전세 전세사기 전세보증금 유럽 빅스텝 기준금리 메타버스 로블록스 대체가죽 버섯 곰팡이 네트웍스 마이코웍스 친환경 경제 경제공부 경제뉴스 . 1604666299988443136 1
2304,2022-12-19,Kcta3441Crime7,문재인 집권 시기 전세사기 방치의 여파. 보증보험 붕괴임박. . 174 출처
2303,2022-12-19,FEE1SOG0OD,50 9 5 01 집과 사랑을 잃은 사람의 슬픈 이야기랄까. 전세 사기지.
2302,2022-12-19,passionrod22,문재인 통계조작은 국정농단 고민정 한동훈 뜨니 원희룡 국토교통부 장관이 18일 오후 인천 미추홀구청에서 열린 전세사기 피해 근절을 위한 . . . 2022121912310007840 451 5 54 2022121912310007840 221008 5 54
2301,2022-12-19,O9RweVc0VIoBgnZ,전세사기 근절 신속한 피해 지원을 위해 총력 . . 0323 222959790764
2300,2022-12-19,loj2154,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 2. 6
2299,2022-12-19,ZOR1ION,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 . 3 6 3
2298,2022-12-19,koreaTIOT,전세사기 급증 손실 눈덩이 질타 표적감사도 논란 . . . 2022 10 12 0018 전세 보증 사고 건수가 2017년 33건이었는데 2021년 2799건으로 늘고 사고 금액도 같은 기간 75억 원에서 5790억 원으로 증가했다 임대차3법 이 만든 지옥
2297,2022-12-19,koreaTIOT,의도했는지 는 모르지만 전세사기가 이렇게 는 것이 전세보증보험을 믿고 비싼 전세가 가능하도록 하면서 범죄집단이 대규모 수익을 벌 판이 벌어진 것이라 볼 수 있지 않나.
2296,2022-12-19,JD_1030,신축 빌라 한 동 전부 빌라왕 피해자 ...전세사기 경고등 출처 네이버 뉴스 .
2311,2022-12-19,corn_cheez,거기서는 은행원님이 물건지 매매가가 8700대인데 전세가 1억이면 나라에서 정한 최대금액을 받는거다 알려주시면서 깡통전세 전세사기 보증금 못돌려받은 사례들 막 말해주심 근데 그래도 근저당 없고 융자없고 150 이내니까 심사신청은 해보겠다고하심
2312,2022-12-19,wome_ooa,원희룡 국토교통부장관 인천 미추홀구 전세사기 현장 방문 2.
2228,2022-12-20,10_01_01,하 근데.. 난 진짜 아무리 생각해도 세금 고액체납 집주인 전세사기 사기 아니라서 더빡침 씨발아 피해는 세입자만보고 이개새끼들 이게너무 짜증남.. 부동산법에 전월세 임대인은 계약시 임차인에게 국세완납증명서 보여주는 법 추가해야됨씨발...
2287,2022-12-20,R_HESCUPORIS,사설 늘어나는 전세 사기 세입자의 알 권리 강화돼야
2252,2022-12-20,0toWMwkHS7kuqAT,여럿이 전세사기 기획 빌라왕 포함 피해 사례 106건 수사 출처 한겨레 네이버 뉴스 . 36
2251,2022-12-20,0toWMwkHS7kuqAT,여럿이 전세사기 기획 빌라왕 포함 피해 사례 106건 수사 출처 한겨레 네이버 뉴스 . 1
2250,2022-12-20,itmecha,빌라왕 사례 등 전세사기 의심거래 106건 경찰에 수사의뢰 . . . 2022122015492793349 445 1 49 2022122015492793349 2 0 9 221124 1 49
2249,2022-12-20,entusojos__,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 언론사 뷰 . . 20221219085716183
2248,2022-12-20,baghyem01494454,국토교통부 빌라왕 사례 등 전세사기 의심거래 106건 수사의뢰 . . . 2022122016150016560 127 8 33 2022122016150016560 211221 8 33
2247,2022-12-20,aNcja99,빌라왕 사례 등 전세사기 의심거래 106건 경찰에 수사의뢰 2. 13
2246,2022-12-20,baby_yurisa,와 오늘 전세사기 당함 계약할때 집주인이랑 부동산이 먼저 나서며 보증보험 가입하라고 먼저 챙겨주고해서 믿었는데 그래도 다행히 보증보험이 있어서 받을수 있겠거니 하는찰나 나의 확정일자가 사기꾼의 매매일자보다 며칠 늦어서 보험이 있어도 못받을수 있다함. 이것들 아주 작정하고 하네
2245,2022-12-20,EUDAF_999,국토교통부 빌라왕 사례 등 전세사기 의심거래 106건 수사의뢰 . 79
2244,2022-12-20,ddangsamo,1139채 빌라왕식 전세사기 또 국토부 전국 106건 끝까지 추적한다 출처 뉴스1 네이버 뉴스 . . 1605140194533203968 1
2243,2022-12-20,brprsdr44,국토교통부 빌라왕 사례 등 전세사기 의심거래 106건 수사의뢰 .
2242,2022-12-20,yaksoto77,빌라왕 사례 등 전세사기 의심거래 106건 경찰에 수사의뢰 . 5
2241,2022-12-20,7Sona7_Jackson,요즘 전세사기가 많이뜨던데 조심
2240,2022-12-20,PUOW771,국토교통부 빌라왕 사례 등 전세사기 의심거래 106건 수사의뢰 2.
2253,2022-12-20,TVChosunNews,정부가 전세사기로 의심되는 임차인 피해 사례들을 무더기로 경찰에 수사 의뢰했다. . . 2022 12 20 2022122090148.
2239,2022-12-20,Witmooouse,22 전세사기 조심하세요 하지만 플리즈 리멤버 난 레즈에는 진심이었다고
2237,2022-12-20,JD_1030,더 큰 폭탄 예고하는 전세사기 지원 구조는 더디기만 출처 네이버 뉴스 . 9
2236,2022-12-20,gaysavetheworld,전세사기 씌팔 우리의 돈이 지금 작가님 집이 아니라 개새끼한테 갔다는거야 이런 쒸팔...하...작가님...부디...개새끼를 잡으시고...선처 없이 콩밥길을 걷게 해주소서...
2235,2022-12-20,Suck10Ceki,더 큰 폭탄 예고하는 전세사기 지원 구조는 더디기만 뉴스데스크 . . 2022 6437959 35744. 최모씨도 같은 수법으로 돈번것 아닌가
2234,2022-12-20,100news2020,빌라왕 사례 등 전세사기 의심거래 106건 경찰에 수사의뢰 100 . 32028
2232,2022-12-20,slug_horror,부동산 나락가면서 다 청산나는 와중에 전세사기가 많아지나 보구나 어쩐지 계속 보이네
2230,2022-12-20,0ow3u72,무슨 빌라 전세사기 조사 규모가 170억이란다 야 장난하냐
2229,2022-12-20,vision4creation,무자본 갭투자로 전세사기 171억 피해 2030에 쏠렸다 출처 네이버 뉴스 . 8 8
2227,2022-12-20,10_01_01,제가 전세사기 당한건 아니고요... 다른 사기보다 유달리 부동산 사기가 무서워서 그럼요 의도 식도 주없이는 안됨... 주는... 돈 몇천몇억이 그냥 공중분해가 될 수도 있는데.... 아 존나무섭다진짜로
2226,2022-12-20,saga02s,나도 전세사기 당할뻔해서 그뒤로는 전세는 쳐다보지도 않는중....진짜 부동산이랑 집주인이 짜고치면 답이 없더라구요... 중기청으로 대출받을 전세집 자취생각하고 있어서 전세가가 1억 2000만원으로 나온 집 100만원 가계약을 했다가 집에와서 매매가 확인해보니까 9000만원...역전세 깡통전세
2288,2022-12-20,squirrelamo,가장 흔히 일어나는 전세사기 유형 5. . 2670384081
180,2022-12-20,colorbobo,요즘 전세사기가 기승인데 나도 21년에 시작하여 22년 초에 끝난 전세사기 경험이 있다. 당시 은행에서 나와서 빌라 전세대를 돌아다니며 전세인지 월세인지를 파악하고 다녔는데 집주인이 그것은 사기이며 개인정보보호를 위해 문을 열어주지 말라고 단톡을 날렸다. 그리고 사태파악이 될 때쯤
181,2022-12-20,hellopolicy,12월 20일 오늘 정책뉴스 전세피해지원센터 전세사기 피해자 전세사기 피해자에게 무료 법률 상담 제공 및 맞춤형 프로그램 지원합니다. . 3 . 1605163760263782400 1
182,2022-12-20,Economy21ck,국토부 전세사기 의심 106건 수사의뢰 빌라왕 관련 16건도 이코노미21 국토부 전세사기 빌라왕 무자본 갭투자 보증금 . 21. . . 1010552
2238,2022-12-20,tallulah_P0488,요즘 살기도 어려운데 전세사기 치는 새끼들 다 뒤져야해..... 우리나라 법이 그지같아서 부동산끼고 동사무소에서 서류 다해도 사기당하니...
2254,2022-12-20,noioOUO,빌라왕 등 신축빌라 전세사기 106건 수사의뢰 피해액 171억 이상
2231,2022-12-20,BokDoy_sP,안 그래도 최근에 전세사기 뉴스 하도 많이 봐서 집주인이 사는 것 알지만 혹시 몰라서 등기부등본 떼봤음
2256,2022-12-20,segyelocaltimes,빌라왕 피해 눈덩이 정부 전세사기 수사의뢰 . . . 1065593465289232
2255,2022-12-20,todayt_2021,전세사기 주요 타깃은 신축빌라 빌라왕 16건 포함 106건 수사의뢰 . . . . 4907
2285,2022-12-20,itmecha,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 1 49 2022122005320032321 2 0 9 221124 1 49
2284,2022-12-20,sobisaenghwal,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 5 21 2022122005320032321 220719 5 21
2283,2022-12-20,MagazineR_,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 8 69 2022122005320032321 211118 8 69 220113
2282,2022-12-20,nowgogowon,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 1 90 2022122005320032321 220920 1 90
2281,2022-12-20,newseasin,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 5 35 2022122005320032321 210829 5 35
2280,2022-12-20,ChoiAhreum4232,원희룡 추위 야속하다 인천 미추홀구 전세사기 피해대책 마련 . . . 2022122005320032321 488 0 78 2022122005320032321 220915 0 78
2279,2022-12-20,Bnangin,김씨는 당시 한 부동산업자에게 빌라 40채 가량을 선물 받으면서 무자본 갭투자 의 세계에 눈을 뜬다. 말이 선물이지 사실상 전세사기의 명의대여자 바지 로 이용된 것이었다. 1139채의 집을 소유한 상태로 숨진 빌라왕 40대 남성의 삶을 추적한 한국일보의 기사 . . 2022121910580004972
2278,2022-12-20,rty1221,사설 늘어나는 전세 사기 세입자의 알 권리 강화돼야 출처 중앙일보 네이버 뉴스 .
2277,2022-12-20,honeytip_backup,전세 계약전 반드시 알아봐야 하는 가장 흔히 일어나는 전세사기 유형 5 . 1605029288989757440 1
2276,2022-12-20,itmecha,신축빌라 노린 전세사기 빌라왕 16건 포함 106건 수사의뢰 . . . 2022122011000336817 214 1 49 2022122011000336817 2 0 9 221124 1 49
2275,2022-12-20,mytip_o_,최근 가장 흔히 일어나는 전세사기 유형 정리 당장 내가 집을 살 일이 없다고 해도 사람일이 어떻게 될지 모르니 꼭 제발 꼭 알고계시길 . 1605032155411013633 1
2274,2022-12-20,baghyem01494454,신축빌라 노린 전세사기 빌라왕 16건 포함 106건 수사의뢰 . . . 2022122011000336817 214 8 33 2022122011000336817 211221 8 33
2273,2022-12-20,nimishel,전세사기 수법에 대한 인터넷 글이나 뉴스가 많아지니 더 못 하기 전에 해먹어야 겠다고 작정하고 사기치는 놈들이 많아지는 거야 아님 사무실에 앉아 연합뉴스 기사 따모으면서 편하게 사는 애들이 그런 소식을 많이 내보내서 체감상 많아진 느낌이 드는 거야
2286,2022-12-20,Usefulinfos_kr,인천 미추홀구 전세사기 피해 2000가구 원희룡 무이자 대출 제공 . . . 2022121908571289312 488 5 82 2022121908571289312 220720 5 82
2271,2022-12-20,suwoncomedy,가장 흔히 일어나는 전세사기 유형 5 . . . 2022122011362407357 600 6 69 2022122011362407357 220920 6 69
2258,2022-12-20,WeehaeJ,눈 뜨고 코 베이는 전세사기 법무부 국토부 지원 논의 본격화 출처 조선비즈 네이버 뉴스 . 98 9
2259,2022-12-20,busaninews,최근 자기 자본 없이 전세보증금을 받아 잔금을 치르는 방식의 깡통전세 가 사회 문제로 떠오르고 있습니다. 전세사기 깡통전세 부동산 . . . 2011 . 00 20221220.99099006293
2272,2022-12-20,MagazineR_,1000가구 전세사기 빌라왕 등 피해 의심거래 106건 경찰 수사의뢰 . . . 2022122011082744465 488 8 69 2022122011082744465 211118 8 69 220113
2257,2022-12-20,ad674,빌라왕 사례 등 전세사기 의심거래 106건 경찰에 수사의뢰 . . . 73472
2262,2022-12-20,News1Kr,법무 국토부 빌라왕 전세사기 피해자 보증금 반환 등 법률 지원 뉴스1 . 1. 4899863
2263,2022-12-20,aooLEUKON,건설부동산 국토부 전세사기 의심 106건 수사의뢰 빌라왕 사례 16건도 포함
2264,2022-12-20,soon18642195,법무부와 국토교통부는 20일 전세사기 피해 임차인 법률지원 합동 첫 회의를 개최했다고 밝혔다. 는 지난 15일 대통령 주재 국정과제 점검회의의 후속조치로 꾸려졌다. 법무부 국토부 경찰청 주택도시보증공사 대한법률구조공단 및 민간 전문가로 구성됐다.
2261,2022-12-20,HarryPark714,전세 사기
2266,2022-12-20,xiaowwxian,뉴스레터에 전세사기 소송 절차 작성한 글이 잇어서 읽어봣눈데 보기만 해도 머리아프다 . . 3 3 3 5 3 6 9 13696935 . 1605051763974737920 1
2267,2022-12-20,xiaowwxian,전세사기 소송 절차 작성한 글인데 읽어두면 도움댈듯... 보기만 해도 머리아퍼 . . . 2 1 21429
2268,2022-12-20,shopmywo33,국토부 전세사기 의심거래 106건 수사의뢰 대부분 20 30대 피해자
2269,2022-12-20,bg1rpeab4,1000가구 전세사기 빌라왕 등 피해 의심거래 106건 경찰 수사의뢰
2270,2022-12-20,kimwt17,가장 흔히 일어나는 전세사기 유형 5 . . . 2022122011362407357 600 7 64 2022122011362407357 220917 7 64
2265,2022-12-20,affair17,전세사기 의심 거래 빌라왕 포함 106건 수사의뢰
2153,2022-12-21,bokkjas2,가지가지한다 임대 놓는다고 세금 혜택 줄 생각하지 말고 전세 사기나 어떻게 잡을지 방안 마련해
2154,2022-12-21,heogumbul,세종기자실록 빌라왕 의 죽음과 계속되는 전세사기 출처 네이버 뉴스 . 3 윤석열 대통령은 주택 1139체 집을 소유하고 임대 사업을 하는겄에 의혹도 않가져 봤는지 문재인 전 대통령 5년동안 그런 엉터리 주택 사업자가 한명도 없었짠냐 . 1605509183352102914 1
2155,2022-12-21,x8x8_18_8x8x,인용달려서 첨부해요. 코로나도 확진자가 늘어나면 사망자수 늘어나듯. 경제가 안 좋아지면 그만큼 전세사기 일어날 확률 높아지겠죠.. 지금 확실히 심각하게 증가되는 상황에서 최소 몇 억 되는 엄청난 금액에 대해 보수적으로 생각해보는 게 좋지 않을까요 만약 내가 당하면 확률은 100 아닌가요
2156,2022-12-21,affective_neuro,요새 전세사기가 왤케 많냐. 이쪽 지역도 작년 올해 난리였다는데.
2157,2022-12-21,seaalgae_,그나마 이것도 최소한으로 피하려면 6시 다되서 계약하고 주민센터 문닫기전에 확정일자 받아서 저쪽이 장난칠 시간을 최소한으로 줄이는게 겨우 할 수 있는일이고 작정하고 달려들면 전세사기는 피하기 어려움. 전세의 무서움.
2158,2022-12-21,StayInsideDear,전세사기를 안 당하는 방법은 없고 그나마 소액우선임차보증금 내로 들어가서 경매시 선순위 변제를 받는 방법 말고는 떠오르지 않는다. 전세권설정을 하거나..
2159,2022-12-21,71kk1k,전세사기 피해 후속조치 세입자보호를 위한 전세금 먼저돌려주기 . . 0 84 84 8 82 8 0 94 95 4 9 84 86 8 1 0 9 98 84 8 9 85 9 90 3 4 98 8 5 9 84 95 9 0 84 84 8 8 88 8 0 80 8 8 0 4 3 8 0
2160,2022-12-21,71kk1k,임차인이 꼭 확인해야할 전세사기 피해예방 위한 3대 전략 총정리편 . . 9 84 0 8 9 8 9 4 99 95 9 8 95 4 95 95 0 0 84 84 8 82 8 0 94 95 4 98 88 0 9 9 84 95 9 3 8 80 0 84 9 5 4 9 0 95 6 8 8
2161,2022-12-21,trala_tree,전세 임대인과 사기치는 공인중개사를 봐서라도. 공무원 더 뽑아서 전세 계약은 나라에서 했으면. 뭔가 믿을만한거 없이 전세사기 안당하는 법을 밥벌어 먹기도 힘든 서민이 숙지해야 하는지
2165,2022-12-21,russiacis,전세시세 뻥튀기 에 전세금 빼돌리기 악질 전세사기 전쟁선포 출처 뉴스1 네이버 뉴스 . 6 . 1605473474780495872 1
2163,2022-12-21,Kimsulan15,나도 올해 굳이 매매한거 전세사기 당할까봐 무서워서 그랫음.. 지굼 생각하면 부동산 동네에 알박고 하는 데를 찾아가야하는듯 물론 그런다고 피할 수 있는 게 아님...
2164,2022-12-21,TVChosunNews,오세훈 서울시장이 전세사기 성행에 분노한다면서 빌라 밀집지 중개업소를 현장 점검하겠다고 예고했다. . . 2022 12 21 2022122190156.
2151,2022-12-21,rekorn_vr,스팀덱 배송지연만 해도 이렇게 마음이 아픈데 전세사기같은거 당하면 자살할듯
2166,2022-12-21,avenuektk,전세사기 피해 대부분이 2030..그들이 당한 수법은 . . 222961920639
2167,2022-12-21,luckyabyo,전세사기 너무 무서움.. 내일이 될 확률이 커서 더더욱 무서움 이걸 개인의 능력으로 피할수가 있음 작정하고 속이는건데 ... 어케 안속아 이걸
2168,2022-12-21,hemiya_,전세집에 살게 됐으니 이제 매일매일 전세사기 안당하길 기도하면서 착하게 살 일만 남았다
2169,2022-12-21,madzzic,전세사기 일화는 볼때마다 손에서 땀남 나도 살다가 한번쯤 당할것같음 당해도 걍 때가 됐구나 이럴듯
2170,2022-12-21,akijelly,전세사기 당한 윤산아.. 돈 메꾸려고 시급 많이 주는 알바 하러 갔는데 알고보니 불법 알바엿던 것임.. 문실장이 니 아직 어려보이는데 엮이지 말라고 내보내면 좋겠다
