,작성일,작성자,내용
4476,2023-02-07,03saint30,수요일 5 6시 간호법
4474,2023-02-07,kmasns,대한임상병리사협회 회장 장인호 신동호 감사가 6일 국회 앞에서 간호법 제정 반대 릴레이 1인 시위 를 벌였습니다. . 1622856237007392768 1
4475,2023-02-07,rblurmch745,간호법 2월 국회에선 통과돼야 예비간호사 1인 시위
648,2023-02-07,gksqjsks8,대한임상병리사협회 신동호 감사 간호법 저지 릴레이 1인 시위 직역간 협의 없는 간호법 반드시 폐기해야 업무 침해 확대 심히 우려 2. 1 8 23
4467,2023-02-08,kmasns,7일에는 대한보건의료정보관리사협회 박명화 부회장이 간호법 제정 반대를 위한 국회 앞 릴레이 1인시위를 펼쳤습니다. . 1623249885343657985 1
4468,2023-02-08,qsmfaxm7,간호법 오는 9일 국회 본회의 직회부 추진
4470,2023-02-08,lisianxthus,아니 근데 간호법을 왜 안만드는거야 요즘에 유튜브로 간호사 관련 유튜브 보는 중임
4466,2023-02-08,traaashseeon,. . . 1 0 174232496 054 49691 1987 간호과 2년제 반대 청원... 한번씩 해주세요 간호인력이 부족한 근본적인 원인은 다 알고 있을텐데... 이악물고 간호법 제정도 안하면서 간호과 2년제 말이 되는 소리를 해야지 . 1623297484830408704 1 . 1623297484830408704 1
4471,2023-02-08,idtsxxcens,간호법 본회의 직회부 예상에 의료계 패닉 의협 9일 전국의사 궐기대회 예정
646,2023-02-08,jinsiltimes1,대한보건의료정보관리사협회 박명화 부회장 간호법 철회 1인 시위 간호법 제정 추진 보건의료 산업 발전에 악영향 줄 것 . . . 26984
4473,2023-02-08,nrkang2004,내 밥그릇을 규정지을 각종 악법 통과 위기에서도 오늘도 평온하게 면피할 생각만 하는 의료계 지도자들 그리고 무관심한 회원들. 오늘도 소귀에 경읽기 하며 욕 먹는 하루.. 에헤라디야 9일 복지위 전체회의서 간호법 의사면허취소법 등 본회의 직회부 된다 . . 3201713499
4444,2023-02-09,nrkang2004,패스트트랙통과.간호법 의료인면허취소법 등 모두 본회의 상정 . 0 0
4442,2023-02-09,godlife__ing,아시발 생각해보니까 간호법 제정된다고 좋을 게 아님 아
4441,2023-02-09,godlife__ing,사유는 간호법 제정에 따라 간호사 업무범위가 넓어짐에 따라 다른 직무의 범위가 좁아질 수 있기 때문입니다 그냥 지나가는 정보라도 이유는 알아야 된다고 생각하는 사람이
4439,2023-02-09,JungenWerther00,복지위 간호법 의료법 등 법안 7건 본회의 직회부 의결 언론사 뷰 . . 20230209184324178
4438,2023-02-09,dalsoo_212,간호법 24명 중 찬성 16표로 본회의 직회부 가결
4447,2023-02-09,sedaily_com,속보 복지위 간호법 등 7개 법안 본회의 직회부 . . 29
4448,2023-02-09,L0VE_1S_Y0U,이제는 조무사도 간호사로 전환시키겟네 그래놓고 간호법 재정은 간호사들이 의사행세하려고군다 같은 가짜뉴스를 만들어서 퍼트리고다니고 ... 의료민영화에 의료서비스 질 개떡락에 의료후진국대한민국가보자고 응수고해
4449,2023-02-09,kmasns,보건복지의료연대는 국회 보건복지위원회의 간호법안 본회의 직회부 움직임에 저항하고자 간호법 반대 국회 앞 릴레이 1인 시위를 지속해오고 있습니다. 9일 오전에는 박영석 대한응급구조사협회 부회장이 1인 시위 주자로 참여했습니다. . 1623595468294078464 1 . 1623595468294078464 1
4445,2023-02-09,JungenWerther00,속보 간호법 등 국회 본회의 부의건 복지위 통과 무기명 표결 언론사 뷰 . . 20230209181513554
4446,2023-02-09,News1Kr,속보 복지위 표결 끝 간호법 국회 본회의 직회부 의결 뉴스1 . 1. 4948869
4437,2023-02-09,JungenWerther00,간호 단체들은 현행 의료법이 다양화 전문화하는 환경을 반영하지 못한다며 조속한 입법을 주장하고 있으며 의사 단체들은 간호법이 특정 직역의 특혜를 위한 법이라며 반대해 왔습니다.
4396,2023-02-09,saalmanhaji,본회의로 바로 회부한다는 것을 의결했다는거지. 즉 간호법 통과가 아직 아니라는. .
4419,2023-02-09,shzevom4w,간협 보건복지위 간호법 국회 본회의 부의 결정 적극 환영
4420,2023-02-09,ru7kxqprd,국회 보건복지위원회 간호법 면허취소법 등 7개 법안 본회의 부의
4421,2023-02-09,MUKAZEIS,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부
4422,2023-02-09,agathsrf242,간호법 등 장기체류법안 복지위 본회의 부의 결론
4423,2023-02-09,mcowkwda274,간호법 의사면허법 본회의행 투표결과 3분의 2 이상 찬성
4424,2023-02-09,LOPAO22SK,간호법 국회 본회의 직행 찬성 16표 반대 7표
4425,2023-02-09,upprfkkold,국회 복지위 간호법 의사면허취소법 본회의 직회부 결정
4426,2023-02-09,yoool_aii,간호법 제정안 의료법 개정안 등 7개 법안 국회 본회의 부의
4428,2023-02-09,toditodi77,국회 복지위 간호법 등 7개 법안 본회의 직회부
4429,2023-02-09,JGT_forever,복지위 소관 부처 업무를 보고 받고 현안에 대해 질의했습니다. 간호법 등 7건의 복지위 소관 법률을 본회의에 직회부하는 안건도 처리했습니다. 상임위의 숙의 결과를 존중하는 좋은 선례라고 생각합니다. 국민의 삶을 지키는 복지 국민의 생명을 지키는 보건의 가치를 새기며 일하겠습니다. . 1623629853596725248 1 . 1623629853596725248 1 . 1623629853596725248 1
4430,2023-02-09,NewsAll08855120,국회 복지위 간호법 등 7개 법안 본회의 직회부 발행일시 2023 02 09 19 17 . . . 0101 202302091921140738 뉴스 최신뉴스
4432,2023-02-09,QsrGUk_O,간호법 등 야당 주도로 본회의 직회부..여당도 이탈표 열일하는 이재명의 민주당 . 1623627709296541696 1
4433,2023-02-09,TZThuyH8M5PIOrM,. . . 001 0013748536 100 간호법이 드디어 본회의에 직회부 되었습니다. 오랫동안 기다려온 순간입니다. 이제 투표만 남았습니다. 부디 투표도 통과하여 좋은 결과 있길 바랍니다.
4435,2023-02-09,JungenWerther00,국힘 이탈 야 더 기다릴 근거 없어 여 다수의석 민주당 폭거 국민의힘서 최소 1 2명 직회부 찬성 이탈표 복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 언론사 뷰 . . 20230209190522527
4436,2023-02-09,forever_486,감호법 제정뒤 간호조무사 규정이 중요할듯. 속보 복지위 여야 표결로 간호법 의사면허취소법 본회의 넘겨 출처 조선비즈 네이버 뉴스 .
4418,2023-02-09,lk6mfc97,국회 복지위 간호법 등 7건 본회의 상정 여 폭거 야 법대로
4417,2023-02-09,jg7vvmsce,복지위 간호법 의료법 등 법안 7건 본회의 직회부 의결
4416,2023-02-09,roroq71a,국회 보건복지위 의사면허취소법 간호법 등 본회의 직회부
4415,2023-02-09,qqnskkxr9,의사협회 간호법 패스트트랙 처리 깊은 유감 천명
4398,2023-02-09,pririri112,조규홍 간호법 의료법 체계 완전히 바꾸는 것 더 협의해야 2. 11
4399,2023-02-09,baghyem01494454,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 . . . 2023020921184373992 214 8 33 2023020921184373992 211221 8 33
4400,2023-02-09,rkdskd77,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 . 0 0
4401,2023-02-09,ganghwa_kickdol,뉴스 복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 9 9
4402,2023-02-09,kingsukryul,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . . 20230209215125292 . 1623681106049658882 1
4404,2023-02-09,xe7lck05m,야 주도로 간호법 등 7개 법안 본회의 직행
4405,2023-02-09,1377413aa,복지위 무기명 투표 끝 간호법 본회의 직회부
4450,2023-02-09,xmovb5516,간호법 본회의 직회부에 의료계 간호협회 국회 앞 찬반집회
4406,2023-02-09,ilpyungdad,또 법사위 패싱 복지위 야 주도로 간호법 등 본회의 직회부 . . 20230209202429917
4408,2023-02-09,choejiy39995609,복지위 간호법 국회 본회의 직회부 의결 의협 갈등과 반목의 단초 심어
4409,2023-02-09,baghyem01494454,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 . . . 2023020919051604000 214 8 33 2023020919051604000 211221 8 33
4410,2023-02-09,iagofigkgo,복지위 야 주도로 표결 끝 간호법 등 7개 법안 본회의 직회부
4411,2023-02-09,potrkguu,간호법 의사면허취소법 본회의 직행 의료계 반응 두쪽
4412,2023-02-09,bcmadj3950,법사위 패싱 다시 시동 건 야 간호법 등 7건 본회의 직회부
4413,2023-02-09,xaymhgdld,간호법 본회의 직접 상정에 의협 규탄 간협 환영
4414,2023-02-09,jtmljm,이재명의 민주당은 합니다 간호법 제정 . 1623646148144791552 1
4407,2023-02-09,plorwoys,이재명 검출석 맞춰 야 간호법 등 본회의 직회부
4451,2023-02-09,NewsAll08855120,조규홍 간호법 의료법 체계 완전히 바꾸는 것...더 협의해야 발행일시 2023 02 09 16 16 . . . 0103 202302091622327138 뉴스 최신뉴스
4443,2023-02-09,News1Kr,복지위 간호법 국회 본회의 직회부 의결 24명 중 16명 찬성 상보 뉴스1 . 1. 4948892
4454,2023-02-09,koreaTIOT,간호법 본회의 상정 되었네. 간호사 진료하게 해 주는 법. 아 기가 차서 진짜.
166,2023-02-09,k66bckimhanmai1,간호법 제정 에 대해 간호사협회 시민단체들이 환영하는 바인데 자신의 직역 아니데도 반대부터 하고 보는 의사협회 의 나쁜심보에 대해 분명히 잘못된 표현방식이다 간호법제정 환영합니다 시민단체 간호법 의사면허취소법 본회의 직행 의료계 반응 두쪽 . . 20230209192813957
4465,2023-02-09,kjceauf05u,간호법 의사면허법 본회의행 9일 분수령 의료계 전운 고조
4464,2023-02-09,skyjets_,출근길 국회의사당 앞에서 간호법 제정 촉구 시위의 모습. . 1623459214168588288 1
4463,2023-02-09,kimsan0,간호법이 뭐라고 이렇게 죽자살자 반대를 하냐
4462,2023-02-09,baghyeo72192220,사진 간호법 두고 간협 의협 등 보건복지의료연대 국회앞 맞불 집회 . . 60988
4461,2023-02-09,pnuhlys5,간호법 의사면허법 본회의행 9일 분수령 의료계 전운 고조 . . . 1151998
645,2023-02-09,JungenWerther00,간호법은 의료법에 있는 간호사에 대한 규정을 떼어 별도로 만든 법으로 제정안에는 간호사 업무 범위의 정의와 적정 노동시간 확보 처우 개선을 요구할 간호사의 권리 등이 담겨있습니다. 복지위 간호법 의료법 등 법안 7건 본회의 직회부 의결 언론사 뷰 . . 20230209184324178
4459,2023-02-09,IT_CORD,지디넷코리아 간호법 국회 본회의에 직회부될까 여야 합의 진통 . . 20230209113926 테크 트렌드
4460,2023-02-09,zdnetkorea,간호법 국회 본회의 직회부 조짐에 찬반 집회 극심 . 81 . 1623503466286174209 1
4455,2023-02-09,zdnetkorea,간호법 국회 본회의에 직회부될까 여야 합의 진통 . 8 5 . 1623540835035004931 1
4453,2023-02-09,mediaus,보건복지부가 간호법 제정 과 관련해 충분한 숙의과정이 필요하다 며 유보적인 입장을 밝히자 의료시민단체가 의사단체들의 2중대를 자처하고 나섰다 고 목소리를 높였다. 복지부 이제와 조작된 갈등을 이유로 발목 . . . . 303705
4456,2023-02-09,suhghbahg7,서울시의사회 보건의료연대와 함께 간호법 저지 최선 다할 것
4458,2023-02-09,DunfordAngelita,간호법 본회의 상정 논의 국회 앞 찬반집회 긴장 고조
4457,2023-02-09,baghyeo72192220,영상 간호법 두고 간협 제정 촉구 의협 간호조무사 결사반대 . . 60990
4326,2023-02-10,chieffeelgood,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포 . 17
4327,2023-02-10,dhuhgjzes,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포 2. 2 7
4328,2023-02-10,misers84002555,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 . . . 2023021014002715076 107 8 90 2023021014002715076 220709 8 90
4329,2023-02-10,hjvp5625,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포 . . . 2023021014082245079 107 8 90 2023021014082245079 220709 8 90
4330,2023-02-10,gu1wec6y,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 1 5
4331,2023-02-10,gimgihoe4,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포
4332,2023-02-10,kingsukryul,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 . . . . 644497 . 1623934792294363136 1
4333,2023-02-10,jeonsunsa,박홍근 직회부 간호법 3월 본회의서 책임있게 처리 . 37
4334,2023-02-10,gb3infnsr,병협 간호법 제정안 등 본회의 직회부 요구 유감
4393,2023-02-10,dfjbn1,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 . 0 662
4336,2023-02-10,Astragalus_0,간호법 야 단독 통과 아닌가 복지부 2차관 발언 논란 . . 20230210114823
4337,2023-02-10,zdnetkorea,간호법 야 단독 통과 아닌가 복지부 2차관 발언 논란 . . 1623910915195424769 1
4338,2023-02-10,IT_CORD,지디넷코리아 간호법 야 단독 통과 아닌가 복지부 2차관 발언 논란 . . 20230210114823 테크 트렌드
4339,2023-02-10,iamhungry17fuck,간호법 통과 간절히 기원합니다
4340,2023-02-10,willbewithMoon,여 민주당 본회의 직회부 맹비난 입법독재 양곡관리법 개정안이 국회 농림축산식품해양수산위원회에서 법사위를 건너뛰고 본회의로 직회부된 데 이어 전날 간호법 등 7개 법안이 보건복지위에서 법사위를 넘어 본회의로 직회부가 이뤄진 점을 지적 . . 20230210133414268
4341,2023-02-10,ujabaicyze,민주당 간호법 의료인 면허 결격 사유 확대법 3월 본회의 처리
4342,2023-02-10,gimgihoe4,박홍근 직회부 간호법 3월 본회의서 책임있게 처리 . .
4343,2023-02-10,sanDAN997,본회의 직회부 간호법 면허관리강화법 남은 절차는
4325,2023-02-10,kingsukryul,야 간호법 등 본회의 직회부 결정에 여 대통령 거부권 행사할 수도 . . 13
4335,2023-02-10,yuowo111,박홍근 직회부 간호법 3월 본회의서 책임있게 처리 . 9
4324,2023-02-10,ddjsofj16,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포 . 5
4322,2023-02-10,cwqnrrldz,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 .
4304,2023-02-10,fnnnfnaj,응급구조사 방사선사 임상병리사 보건의료정보관리사 등 13개 단체가 간호법 반대하는 이유 일부 내용 수정 및 추가 2. 81
4305,2023-02-10,nwhqnixd384,간호법 국회 본회의 직행 보건의료계 파장 불가피 .
4306,2023-02-10,JD_1030,간호법 야 단독 통과 아닌가 복지부 2차관 발언 논란 출처 네이버 뉴스 . 5
4307,2023-02-10,aa11aa2213,응급구조사 방사선사 임상병리사 보건의료정보관리사 등 13개 단체가 간호법 반대하는 이유 일부 내용 수정 및 추가 2. 8
4308,2023-02-10,alcutkfdk,간호법 국회 본회의 직행 보건의료계 파장 불가피 2.
4309,2023-02-10,ROAONF23,응급구조사 방사선사 임상병리사 보건의료정보관리사 등 13개 단체가 간호법 반대하는 이유 일부 내용 수정 및 추가 . 3 9 3
4310,2023-02-10,chieffeelgood,주호영 야 간호법 등 직회부로 법사위 무력화..법치주의 기초도 몰라 .
4311,2023-02-10,DlfQns,대통령실 도이치모터스 1심 선고에 김여사 주가조작 야주장도 깨졌다 . . . 2023021016164690007 0 79 2023021016164690007 210712 0 79 주호영 야 간호법 등 직회부로 법사위 무력화..법치주의 기초도 몰라 . . . 2023021010321455521 0 79 2023021010321455521 210712 0 79
4323,2023-02-10,oqwvmtgg066,주호영 야 간호법 등 직회부로 법사위 무력화..법치주의 기초도 몰라 2. 1
4312,2023-02-10,sunnews1,국회 보건복지위원회 간호법 본회의 직접 상정...의협은 반발 . . . . 86076
4314,2023-02-10,fogiwkx,간호법 국회 본회의 직행 보건의료계 파장 불가피 2. 4
4315,2023-02-10,bcmadj3950,병원협회 복지위 간호법 등 7개 법안 본회의 직회부 의결 유감
4316,2023-02-10,gamjadori7891,야 간호법 등 본회의 직회부 결정에 여 대통령 거부권 행사할 수도 2.
4317,2023-02-10,djjwofjgj,국민의힘 양곡법 이어 간호법 본회의 직회부 날치기 다수 횡포 . 8
4319,2023-02-10,xgbcxkyo665,민주당 간호법 등 7개 법안 본회의 직회부 또 법사위 무력화
4320,2023-02-10,TVChosunNews,복지부는 10일 코로나19 대응을 위해 의료현장의 직역 간 협업이 중요한 상황 이라며 간호법의 본회의 부의 요구는 보건의료 직역 간의 협업을 어렵게 할 우려가 있다 고 밝혔다. . . 2023 02 10 2023021090138.
4321,2023-02-10,rein171,응급구조사 방사선사 임상병리사 보건의료정보관리사 등 13개 단체가 간호법 반대하는 이유 일부 내용 수정 및 추가 .
4313,2023-02-10,ear714,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 2. 4
4346,2023-02-10,rblurmch745,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 . 2 4
4348,2023-02-10,JungenWerther00,당지도부 오늘 최고위서 검찰 총공세 곽상도 1심 판결 비판 김건희 특검 강조 간호법은 3월 국회에서 처리 야 곽상도 무죄 판결 검 선택적 수사 횡포 총공세 아시아경제 언론사 뷰 . . 20230210114641849
4349,2023-02-10,IT_CORD,지디넷코리아 복지부 2차관 간호법 야 단독 통과시킨 것 아닌가 . . 20230210114823 테크 트렌드
4373,2023-02-10,vewyavy2w,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 69 6
4374,2023-02-10,ddubi__is__free,간호법 의료법 기사 보니까 생각나는 지인이 한 명 있어서 영업하러 가야겠다
4375,2023-02-10,xp2wuxv6fty,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 2.
4376,2023-02-10,nnzhhuld1,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 38
4377,2023-02-10,dkdosj33,간호법 국회 본회의로 복지위 신속처리 가결
4378,2023-02-10,coqrpvzehg,본회의로 간 간호법 의사면허법 의료계 핵폭탄급 후폭풍
4380,2023-02-10,ufvmgyuz,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 .
4382,2023-02-10,rhdlrhl1234,조규홍 간호법 의료법 체계 완전히 바꾸는 것 더 협의해야 . 641 1
4383,2023-02-10,iseoeun69593125,의료계 논란 많은 간호법 거야 주도로 본회의 직행
4384,2023-02-10,cfouibe3,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 2. 8 4 2 1
4385,2023-02-10,YAnPy_inthere,간호사 처우개선 간호법 의사면허박탈법 국회 본회의로 넘어갔다 출처 조선비즈 네이버 뉴스 . 6 8
4387,2023-02-10,fkdfsajkf74,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 2. 2 0
4388,2023-02-10,lb4hho3j,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 2.
4389,2023-02-10,dhuhgjzes,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 4 1
4390,2023-02-10,gimjinh54100539,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . . . 2023020921572091648 495 8 90 2023020921572091648 220709 8 90
4391,2023-02-10,pobizing,간호법을 본회의에 곧바로 부의하는 안건은 위원 24명 가운데 찬성 16명 반대 7명 무효 1명 등으로 의결됐다. 복지위 재적 위원 총 24명 중 더불어민주당 소속은 14명 국민의힘은 9명 정의당은 1명이다.
4392,2023-02-10,bogoagmab05,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 . 3
4372,2023-02-10,fefeTheWoolf,의료법 감염병법 간호법 등 보건복지위 소관 7개 법 제 개정안 본회의 부의 여부에 대한 국회 보건복지위원회 의결이 있었습니다. 이번 개정안의 본회의 부의 의결로 의료인에 대한 신뢰 강화와 간호역량 강화에 한 걸음 더 다가갈 수 있게 되었습니다. 환영합니다. 이수진 의원 . 1623807122780852224 1 . 1623807122780852224 1
4371,2023-02-10,purpose172,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 2. 8
4370,2023-02-10,gloamOW,간호법 본회의 직회부 투표서 민주당 반대표 1표 나온 듯 복지부 2차관 반대는 대통령 거부권 염두
4369,2023-02-10,iqzlmie3,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 . 0
4351,2023-02-10,kingsukryul,주호영 야 간호법 등 직회부로 법사위 무력화..법치주의 기초도 몰라 . .
4352,2023-02-10,nutiiwii,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 . 3
4353,2023-02-10,SloowMove,물론 민주당 의원 일부의 그 몰이해로 저번에 간호법이 누더기가 된것도 잊지는 않겠습니다
4303,2023-02-10,dfkvmxo,간호법 국회 본회의 직행 보건의료계 파장 불가피 . 9
4354,2023-02-10,qsmfaxm7,복지위 간호법 제정안 등 7개 법안 본회의 직회부 요구
4355,2023-02-10,SloowMove,간협 간부들은 국힘 의원만 여기저기 만나고 다니던데 실질적으로 민주당이 다 하네 간호법을 원하는건지 그 위치에서 오는 권력을 원하는건지
4356,2023-02-10,ola_9972,간호법 의사면허취소법 국회 본회의 직행
4357,2023-02-10,orvswjbdw,간호법 등 본회의 직회부....24명 중 찬성 16표 가결
4347,2023-02-10,KUDURMABUG,야 간호법 등 본회의 직회부에 뿔난 국힘
4358,2023-02-10,toeiiikd116,조규홍 간호법 의료법 체계 완전히 바꾸는 것 더 협의해야 .
4360,2023-02-10,ISTJAW212,간호법 국회 통과 가시권...본회의 직회부 이후 처리 절차는
4361,2023-02-10,toaeuw2,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 . 8
4362,2023-02-10,nrkang2004,간호법 의사면허박탈법.. 목에 칼이 들어오는데도 평온한 하루. . 에헤라디야
4363,2023-02-10,ear714,복지위 야 주도로 간호법 등 7개 법안 본회의 직회부 2. 9
4364,2023-02-10,rapportianews,간호법 국회 통과 가시권...본회의 직회부 이후 처리 절차는 국회법 제86조 체계 자구의 심사 에 따르면 국회 의장은 본회의 부의 요구가 있을 때에는 해당 법률안을 각 교섭단체 대표의원과 합의해 바로 본회의에 부의한다. . . . 157399 . 1623832915447799808 1
4365,2023-02-10,toditodi77,의협 간호법 본회의 직회부에 국민생명 위해 초래할 수 있어 2. 3 8 4
4366,2023-02-10,wnxaeyot020,복지위 간호법 등 7개 법안 본회의 직회부...여 다수당 폭거 반발 2. 4 0 0
4367,2023-02-10,ru05vbmhgo,복지위 야당 주도로 간호법 등 7개 법안 본회의 직회부
4359,2023-02-10,ley0113,간호법 이제 좀 통과 좀 되야되지 않겠니... 간호사 처우개선 좀 하자... . 0113 1623853790406516737 1
4350,2023-02-10,eooeobo,주호영 야 간호법 등 직회부로 법사위 무력화..법치주의 기초도 몰라
4395,2023-02-10,fathew1,국회 복지위 간호법 등 7개 법안 본회의 직회부 의결
644,2023-02-10,nocutnews,간호법 간호사 의협 의사 국회 보건복지위원회가 간호사 처우개선 업무범위 등이 담긴 간호법 제정안 등 7개 법안을 본회의에 직회부하는 안건을 통과시켰다. . . . 5893055
643,2023-02-10,kmasns,갑작스런 간호법 본회의 직회부가 보건복지의료계의 공분을 불러일으키고 있는 가운데 10일에는 조영기 대한방사선사협회 회장이 국회 앞에서 간호법 제정 반대 릴레이 1인시위를 펼쳤습니다. . 1623967515541139456 1
642,2023-02-10,yuyutraveler,민주당 간호법 등 7개 법안 본회의 직회부 또 법사위 무력화 민주당 9일 간호법 등 7개 쟁점법안 본회의 직회부 의결 국민의힘 70년 헌정사 유례없는 일 국민 심판 받을 것 . . . 2023 02 10 2023021000167. 뉴데일리
4274,2023-02-11,drtotem8,지금 당장 해도 바이탈과가 살아날수있을까말까한 상태인데 진짜 정부의 결론은 간호법에 면취법에 공공의대인 상황이라.......개인적으로 희망이 안보이네요
4292,2023-02-11,fuel714,야 간호법 등 본회의 직회부 결정에 여 대통령 거부권 행사할 수도 . 76
4290,2023-02-11,NewsAll08855120,간호사 의사 포함 보건의료직역... 간호법 대립 왜 발행일시 2023 02 11 09 11 . . . 0103 202302110909199541 뉴스 최신뉴스
4288,2023-02-11,appetite17,간호법 국회 본회의 직행 보건의료계 파장 불가피 2. 3
4286,2023-02-11,bottomupatonce,171 응 간호법 짱
4285,2023-02-11,bottomupatonce,..빨리 간호법 만들어져서 그 행위료도 다 받았으면 좋겠어요 우리가 약사야뭐야
4284,2023-02-11,ivbxhykc110,국민의힘 양곡관리법 간호법 등 야 본회의 직회부 맹비난 이재명 방탄용 입법독재
4283,2023-02-11,reniarbon,아니 간호법은 암만봐도 님 암만해도 좀 찜찜한데 간호사들이 보기엔 너무 늦었지만 좀 신중히 가시죠 하면 될 걸 이렇게 발작할 일이 아닌 거 같은데....대체 뭐가 무서운 거지 . 1624273436163084289 1
4282,2023-02-11,Usefulinfos_kr,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 . . . 2023021014002715076 107 5 82 2023021014002715076 220720 5 82
4280,2023-02-11,dqhqjl1550,복지위 간호법 등 법사위 표류법안 7건 본회의 직회부
4279,2023-02-11,fadptum05,간호법 국회 본회의 직행 보건의료계 파장 불가피 . 5
4278,2023-02-11,chokyungryul1,의사단체 이기주의 오죽하면 간호법 직회부 했겠나 . . 9 98 82 8 8 2 4 9 4 8 0 3 9 98 98 4 3 95 98 9 4 0 84 98 8 2 95 7 81 9 8 6 80 96 88 2 0 82 98 17 478 412 1045447 66 34456 1708
4277,2023-02-11,kimwj1,서울시의 병의협 간호법 국회 본회의 직회부 규탄 서울시의사회 회원 추가 피해 막기 위해 최선 다하겠다 병의협 의협 집행부 총사퇴 배수진 치고 강경 투쟁 선봉에 서달라 촉구 . . . . 2190855 . 1 1624411839718391814 1 . 1 1624411839718391814 1 . 1 1624411839718391814 1 . 1 1624411839718391814 1
4276,2023-02-11,ewhacko,복지부도 간호법 본회의 직회부 우려 직역 갈등 및 의료현장 혼란 야기 심의과정서 충분 논의 . . . . 2190873 . 1624412479299411970 1
4275,2023-02-11,sungjoo_kim,의협 대의원회 간호법 본회의 직회부 맞서 전면전 선언 총궐기로 대응할 것 선언.. 국민 생명 지키는 싸움에 나서겠다 . . . . 2190858 의학신문 일간보사 . 1624414340035248129 1
4293,2023-02-11,belt714,간호법 국회 본회의 직행 보건의료계 파장 불가피 . 3
4294,2023-02-11,lkny4535,법사위 소위 회부가 간호법 본회의 직회부 불 당겼다
4289,2023-02-11,method171,간호사 외 모든 직역 반대하는 간호법 철회할 때까지
4296,2023-02-11,a1973150,간호법 국회 본회의 직행 보건의료계 파장 불가피 2. 0 4
4298,2023-02-11,ppprjjwftyt,야 간호법 등 본회의 직회부 결정에 여 대통령 거부권 행사할 수도 . 0 7 4
4299,2023-02-11,population17,간호법 국회 본회의 직행 보건의료계 파장 불가피 . 6
4301,2023-02-11,direction172,응급구조사 방사선사 임상병리사 보건의료정보관리사 등 13개 단체가 간호법 반대하는 이유 일부 내용 수정 및 추가 . 5
641,2023-02-11,yjp20,간호법 후폭풍...박명하 서울시의사회장 의협 부회장직 사표 의협 역할 한계 느껴..서울시의사회장직으로 더 잘할 수 있다는 입장 임원 사퇴로 의협이 간호법 총력 대응 경각심 가질 수 있다는 생각도 밝혀 . . . . 2190877 의학신문 일간보사 . 20 1624410786423767043 1 . 20 1624410786423767043 1 . 20 1624410786423767043 1
4295,2023-02-11,pmvutfkbd,간호법 의료인 면허취소 강화법 국회 본 회의 회부 의료계 단체들 반발이어져
4248,2023-02-12,C6Uyv,민주당 간호법 등 7개 법안 본회의 직회부 또 법사위 무력화 . . . 2023 02 10 2023021000167. 뉴데일리 국민의힘 70년 헌정사 유례없는 일 국민 심판 받을 것 이런 맥빠진 소리말고 할거 없나. 법을 개좃같이 아는 새끼들한테 법대로 하자고. 욕좀 듣고 힘을 써라.
4249,2023-02-12,fkgdiieiiii,양곡법 간호법 등 본회의 직회부 쟁점법안들 줄줄이 법사위 패싱예고 . 3
4250,2023-02-12,bottomupatonce,350 응 안 궁금해 간호법 줘
